ctcname,labcode,lparm,pfizer_loinc_name,aeterm,aeptcd,aedecod,lab_test
Increased INR,704,pt_inr,prothrombin time inr,"increased inr, international normalised ratio abnormal",10022595,International normalised ratio increased,"international normalized ratio, inr"
Increased Lipase,711,lipase_s,lipase,increased lipase,10024574,Lipase increased,lipase
Increased PT,19,pt_quick,prothrombin time,"increased pt, prothrombin increased",10037051,Prothrombin level increased,prothrombin time
Increased PTT,122,ptt,partial thromboplastin time,increased ptt,0,na,partial thromboplastin time
Leukopenia,7,wbc,white blood cells,"leukopenia, white blood cells decreased",10024384,Leukopenia,"white blood cells, wbc"
LYMPHOCYTE COUNT INCREASED,11,lymph_pw,lymphocytes (%),lymphocyte count increased,0,na,lymphocytes
LYMPHOCYTE COUNT INCREASED,611,lymph_a,lymphocytes (absolute),lymphocyte count increased,10025258,Lymphocyte count increased,lymphocytes absolute
LYMPHOPENIA,11,lymph_pw,lymphocytes (%),lymphopenia,0,na,lymphocytes
LYMPHOPENIA,611,lymph_a,lymphocytes (absolute),lymphopenia,10025327,Lymphopenia,lymphocytes absolute
Neutropenia,8,neut_pw,neutrophils (%),neutropenia,0,na,lymphocytes
Neutropenia,608,neut_a,neutrophils (absolute),neutropenia,10029354,Neutropenia,lymphocytes absolute
Proteinuria,78,prot_u,urine protein,"proteinuria, protein urine present",10037032,Proteinuria,"urine protein, urine protein quantitative random, urine 24hr protein"
Thrombocytopenia,5,plts,platelets,"thrombocytopenia, platelet count decreased",10043554,Thrombocytopenia,"platelets, plt, plts"
0,0,0,white blood cells,leukocytosis,10024378,Leukocytosis,"white blood cell, white blood cells, white blood cells count, white blood cell count, wbc"
0,0,0,0,"activated partial thromboplastin time prolonged, prolonget aptt",10000636,Activated partial thromboplastin time prolonged,"activated partial thromboplastin time, aptt"
0,0,0,0,febrile neutropenia,10016288,Febrile neutropenia,"neutrophils absolute, anc"
0,0,0,0,blood bilirubin increased,10005364,Blood bilirubin increased,bilirubin total
0,0,0,0,"cd4 lymphocytes decreased, lymphocyte count decreased",10025256,Lymphocyte count decreased,lymphocytes absolute
0,0,0,0,"hypofibrinogenemia, fibrinogen decreased",0,na,0
0,0,0,0,lipase increased,10024574,Lipase increased,lipase
0,0,0,0,neutrophil count decreased,10029366,Neutrophil count decreased,neutrophils absolute
0,0,0,0,pancreatic enzymes decreased,0,na,"amylase, lipase"
0,0,0,0,"hyperuricemia, blood uric acid increased",10020903,Hyperuricaemia,uric acid
0,0,0,0,acute coronary syndrome,0,na,"electrocardiogram, ecg, ekg"
0,0,0,0,"acute kidney injury, aki, arf",10069339,Acute kidney injury,creatine
0,0,0,0,corneal ulcer,0,na,tuberculin 
